race,year,round,session,event,status,laps_rows,stream_rows,seconds,warnings,error
2021_12_belgian_grand_prix_R,2021,12,R,Belgian Grand Prix,OK,60,1570,63.9,fastf1.api WARNING Driver 33: Ignoring late data for a previously processed lap.The data may contain errors (previous: 1; current 3) | fastf1.api WARNING Driver 63: Ignoring late data for a previously processed lap.The data may contain errors (previous: 1; current 3) | fastf1.api WARNING Driver 44: Ignoring late data for a previously processed lap.The data may contain errors (previous: 1; current 3) | fastf1.api WARNING Driver  3: Ignoring late data for a previously processed lap.The data may contain errors (previous: 1; current 3) | fastf1.api WARNING Driver  5: Ignoring late data for a previously processed lap.The data may contain errors (previous: 1; current 3) | fastf1.api WARNING Driver 10: Ignoring late data for a previously processed lap.The data may contain errors (previous: 1; current 3) | fastf1.api WARNING Driver 11: Ignoring late data for a previously processed lap.The data may contain errors (previous: 1; current 3) | fastf1.api WARNING Driver 31: Ignoring late data for a previously processed lap.The data may contain errors (previous: 1; current 3) | fastf1.api WARNING Driver 16: Ignoring late data for a previously processed lap.The data may contain errors (previous: 1; current 3) | fastf1.api WARNING Driver  6: Ignoring late data for a previously processed lap.The data may contain errors (previous: 1; current 3) | fastf1.api WARNING Driver 55: Ignoring late data for a previously processed lap.The data may contain errors (previous: 1; current 3) | fastf1.api WARNING Driver 14: Ignoring late data for a previously processed lap.The data may contain errors (previous: 1; current 3) | fastf1.api WARNING Driver 77: Ignoring late data for a previously processed lap.The data may contain errors (previous: 1; current 3) | fastf1.api WARNING Driver 99: Ignoring late data for a previously processed lap.The data may contain errors (previous: 1; current 3) | fastf1.api WARNING Driver  4: Ignoring late data for a previously processed lap.The data may contain errors (previous: 1; current 3) | fastf1.api WARNING Driver 22: Ignoring late data for a previously processed lap.The data may contain errors (previous: 1; current 3) | fastf1.api WARNING Driver 47: Ignoring late data for a previously processed lap.The data may contain errors (previous: 1; current 3) | fastf1.api WARNING Driver  9: Ignoring late data for a previously processed lap.The data may contain errors (previous: 1; current 3) | fastf1.api WARNING Driver 18: Ignoring late data for a previously processed lap.The data may contain errors (previous: 1; current 3) | fastf1.api WARNING Driver  7: Ignoring late data for a previously processed lap.The data may contain errors (previous: 1; current 3) | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '33' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '63' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '6' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '99' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '47' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '9' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '7',
2021_13_dutch_grand_prix_R,2021,13,R,Dutch Grand Prix,OK,1361,29522,64.6,fastf1.fastf1.core WARNING Driver 33 completed the race distance 00:00.012000 before the recorded end of the session.,
2021_14_italian_grand_prix_R,2021,14,R,Italian Grand Prix,OK,891,21334,59.5,fastf1.fastf1.core WARNING Failed to perform lap accuracy check - all laps marked as inaccurate (driver 22) | fastf1.fastf1.core WARNING Driver 3 completed the race distance 00:00.086000 before the recorded end of the session. | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2021_14_italian_grand_prix_S,2021,14,S,Italian Grand Prix,OK,343,8282,40.8,fastf1.fastf1.core WARNING Driver 16: Lap timing integrity check failed for 1 lap(s) | fastf1.fastf1.core WARNING Driver 77 completed the race distance 00:00.090000 before the recorded end of the session. | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2021_15_russian_grand_prix_R,2021,15,R,Russian Grand Prix,OK,1025,25797,61.3,fastf1.fastf1.core WARNING Driver 44 completed the race distance 00:00.044000 before the recorded end of the session.,
2021_16_turkish_grand_prix_R,2021,16,R,Turkish Grand Prix,OK,1147,21996,64.8,fastf1.fastf1.core WARNING Driver 77 completed the race distance 00:00.079000 before the recorded end of the session.,
2021_17_united_states_grand_prix_R,2021,17,R,United States Grand Prix,OK,1044,21058,63.3,fastf1.fastf1.core WARNING Driver 33 completed the race distance 00:00.059000 before the recorded end of the session.,
2021_18_mexico_city_grand_prix_R,2021,18,R,Mexico City Grand Prix,OK,1261,25285,72.0,fastf1.fastf1.core WARNING Driver 33 completed the race distance 00:00.032000 before the recorded end of the session. | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2021_19_s_o_paulo_grand_prix_R,2021,19,R,São Paulo Grand Prix,OK,1360,25796,69.7,fastf1.fastf1.core WARNING Driver 44 completed the race distance 00:00.059000 before the recorded end of the session. | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2021_19_s_o_paulo_grand_prix_S,2021,19,S,São Paulo Grand Prix,OK,480,9261,37.3,fastf1.fastf1.core WARNING Driver 77 completed the race distance 00:00.065000 before the recorded end of the session.,
2021_20_qatar_grand_prix_R,2021,20,R,Qatar Grand Prix,OK,1114,24699,69.4,fastf1.fastf1.core WARNING Driver 44 completed the race distance 00:00.037000 before the recorded end of the session.,
2021_21_saudi_arabian_grand_prix_R,2021,21,R,Saudi Arabian Grand Prix,OK,845,18540,72.2,fastf1.fastf1.core WARNING Driver 44 completed the race distance 00:00.180000 before the recorded end of the session. | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2021_22_abu_dhabi_grand_prix_R,2021,22,R,Abu Dhabi Grand Prix,OK,1000,22892,67.2,fastf1.fastf1.core WARNING Failed to perform lap accuracy check - all laps marked as inaccurate (driver 9) | fastf1.fastf1.core WARNING Driver 33 completed the race distance 00:00.035000 before the recorded end of the session. | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
