race,year,round,session,event,status,laps_rows,stream_rows,seconds,warnings,error
2021_01_bahrain_grand_prix_R,2021,1,R,Bahrain Grand Prix,OK,1027,27893,57.2,fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '11' | fastf1.fastf1.core WARNING Driver 44 completed the race distance 00:00.067000 before the recorded end of the session.,
2021_02_emilia_romagna_grand_prix_R,2021,2,R,Emilia Romagna Grand Prix,OK,1127,22583,63.9,fastf1.fastf1.core WARNING Driver 33 completed the race distance 00:01.003000 before the recorded end of the session.,
2021_03_portuguese_grand_prix_R,2021,3,R,Portuguese Grand Prix,OK,1245,28712,60.3,fastf1.api WARNING Driver 44: Ignoring late data for a previously processed lap.The data may contain errors (previous: 61; current 62) | fastf1.api WARNING Failed to align laps for drivers: ['7'] | fastf1.fastf1.core WARNING Driver 44 completed the race distance 00:00.050000 before the recorded end of the session. | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2021_04_spanish_grand_prix_R,2021,4,R,Spanish Grand Prix,OK,1247,25114,60.7,fastf1.api WARNING Driver 55: Ignoring late data for a previously processed lap.The data may contain errors (previous: 28; current 29) | fastf1.api WARNING Driver 22: Ignoring late data for a previously processed lap.The data may contain errors (previous: 2; current 3) | fastf1.fastf1.core WARNING Driver 44 completed the race distance 00:00.083000 before the recorded end of the session. | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2021_05_monaco_grand_prix_R,2021,5,R,Monaco Grand Prix,OK,1419,27694,143.0,fastf1.fastf1.core WARNING Failed to perform lap accuracy check - all laps marked as inaccurate (driver 16) | fastf1.fastf1.core WARNING Driver 33 completed the race distance 00:00.058000 before the recorded end of the session.,
2021_06_azerbaijan_grand_prix_R,2021,6,R,Azerbaijan Grand Prix,OK,943,22724,81.9,fastf1.api WARNING Driver 47: Ignoring late data for a previously processed lap.The data may contain errors (previous: 42; current 43) | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '11' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '47' | fastf1.fastf1.core WARNING Driver 11 completed the race distance 00:00.028000 before the recorded end of the session. | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2021_07_french_grand_prix_R,2021,7,R,French Grand Prix,OK,1051,26410,57.6,fastf1.fastf1.core WARNING Driver 33 completed the race distance 00:00.047000 before the recorded end of the session.,
2021_08_styrian_grand_prix_R,2021,8,R,Styrian Grand Prix,OK,1296,24684,54.6,"fastf1.api WARNING Driver 18: Encountered 1 timing integrity error(s) near lap(s): [33].
This might be a bug and should be reported. | fastf1.api WARNING Failed to align laps for drivers: ['10'] | fastf1.fastf1.core WARNING Driver 33 completed the race distance 00:00.152000 before the recorded end of the session.",
2021_09_austrian_grand_prix_R,2021,9,R,Austrian Grand Prix,OK,1338,25644,63.3,fastf1.fastf1.core WARNING Driver 33 completed the race distance 00:00.061000 before the recorded end of the session. | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2021_10_british_grand_prix_R,2021,10,R,British Grand Prix,OK,970,23208,70.0,fastf1.api WARNING Driver  4: Ignoring late data for a previously processed lap.The data may contain errors (previous: 43; current 44) | fastf1.api WARNING Driver 55: Ignoring late data for a previously processed lap.The data may contain errors (previous: 7; current 8) | fastf1.fastf1.core WARNING Driver 44 completed the race distance 00:00.025000 before the recorded end of the session. | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2021_10_british_grand_prix_S,2021,10,S,British Grand Prix,OK,339,8203,34.9,fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '33' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '44' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '77' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '16' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '5' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '63' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '10' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '7' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '99' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '22' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '6' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '47' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '11' | fastf1.fastf1.core WARNING Driver 33 completed the race distance 00:00.007000 before the recorded end of the session.,
2021_11_hungarian_grand_prix_R,2021,11,R,Hungarian Grand Prix,OK,985,18503,78.9,"fastf1.api WARNING Driver 10: Ignoring late data for a previously processed lap.The data may contain errors (previous: 64; current 65) | fastf1.api WARNING Failed to align laps for drivers: ['9', '4'] | fastf1.fastf1.core WARNING Driver 31 completed the race distance 00:00.068000 before the recorded end of the session. | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!",
