race,year,round,session,event,status,laps_rows,stream_rows,seconds,warnings,error
2025_09_spanish_grand_prix_R,2025,9,R,Spanish Grand Prix,OK,1203,24304,23.2,fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2025_10_canadian_grand_prix_R,2025,10,R,Canadian Grand Prix,OK,1349,24634,26.2,fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2025_11_austrian_grand_prix_R,2025,11,R,Austrian Grand Prix,OK,1126,22426,24.0,fastf1.fastf1.core WARNING Failed to perform lap accuracy check - all laps marked as inaccurate (driver 55) | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2025_12_british_grand_prix_R,2025,12,R,British Grand Prix,OK,825,20488,24.6,fastf1.fastf1.core WARNING Failed to perform lap accuracy check - all laps marked as inaccurate (driver 43) | fastf1.api WARNING Driver 30: Position data is incomplete! | fastf1.api WARNING Driver 31: Position data is incomplete! | fastf1.api WARNING Driver  2: Position data is incomplete! | fastf1.api WARNING Driver  3: Position data is incomplete! | fastf1.api WARNING Driver  7: Position data is incomplete! | fastf1.api WARNING Driver  8: Position data is incomplete! | fastf1.api WARNING Driver  9: Position data is incomplete! | fastf1.api WARNING Driver 11: Position data is incomplete! | fastf1.api WARNING Driver 15: Position data is incomplete! | fastf1.api WARNING Driver 17: Position data is incomplete! | fastf1.api WARNING Driver 19: Position data is incomplete! | fastf1.api WARNING Driver 20: Position data is incomplete! | fastf1.api WARNING Driver 21: Position data is incomplete! | fastf1.api WARNING Driver 24: Position data is incomplete! | fastf1.api WARNING Driver 25: Position data is incomplete! | fastf1.api WARNING Driver 26: Position data is incomplete! | fastf1.api WARNING Driver 28: Position data is incomplete! | fastf1.api WARNING Driver 29: Position data is incomplete! | fastf1.api WARNING Driver 43: Position data is incomplete! | fastf1.api WARNING Driver 44: Position data is incomplete! | fastf1.api WARNING Driver 55: Position data is incomplete! | fastf1.api WARNING Driver 63: Position data is incomplete! | fastf1.api WARNING Driver 81: Position data is incomplete! | fastf1.api WARNING Driver 87: Position data is incomplete! | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2025_13_belgian_grand_prix_R,2025,13,R,Belgian Grand Prix,OK,879,23580,28.6,fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '81' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '4' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '16' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '1' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '63' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '23' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '44' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '30' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '5' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '10' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '87' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '27' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '22' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '18' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '31' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '12' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '14' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '55' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '43' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '6' | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2025_13_belgian_grand_prix_S,2025,13,S,Belgian Grand Prix,OK,297,7638,15.9,fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '10',
2025_14_hungarian_grand_prix_R,2025,14,R,Hungarian Grand Prix,OK,1368,27633,24.9,,
2025_15_dutch_grand_prix_R,2025,15,R,Dutch Grand Prix,OK,1364,31335,23.7,fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2025_16_italian_grand_prix_R,2025,16,R,Italian Grand Prix,OK,974,20635,22.7,fastf1.fastf1.core WARNING Failed to perform lap accuracy check - all laps marked as inaccurate (driver 27),
2025_17_azerbaijan_grand_prix_R,2025,17,R,Azerbaijan Grand Prix,OK,968,24101,23.9,fastf1.fastf1.core WARNING Driver 1 completed the race distance 00:00.015000 before the recorded end of the session. | fastf1.api WARNING Driver  2: Position data is incomplete! | fastf1.api WARNING Driver  3: Position data is incomplete! | fastf1.api WARNING Driver  7: Position data is incomplete! | fastf1.api WARNING Driver  8: Position data is incomplete! | fastf1.api WARNING Driver  9: Position data is incomplete! | fastf1.api WARNING Driver 11: Position data is incomplete! | fastf1.api WARNING Driver 15: Position data is incomplete! | fastf1.api WARNING Driver 17: Position data is incomplete! | fastf1.api WARNING Driver 19: Position data is incomplete! | fastf1.api WARNING Driver 20: Position data is incomplete! | fastf1.api WARNING Driver 21: Position data is incomplete! | fastf1.api WARNING Driver 24: Position data is incomplete! | fastf1.api WARNING Driver 25: Position data is incomplete! | fastf1.api WARNING Driver 26: Position data is incomplete! | fastf1.api WARNING Driver 28: Position data is incomplete! | fastf1.api WARNING Driver 29: Position data is incomplete! | fastf1.api WARNING Driver 30: Position data is incomplete! | fastf1.api WARNING Driver 31: Position data is incomplete! | fastf1.api WARNING Driver 43: Position data is incomplete! | fastf1.api WARNING Driver 44: Position data is incomplete! | fastf1.api WARNING Driver 55: Position data is incomplete! | fastf1.api WARNING Driver 63: Position data is incomplete! | fastf1.api WARNING Driver 81: Position data is incomplete! | fastf1.api WARNING Driver 87: Position data is incomplete! | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
