race,year,round,session,event,status,laps_rows,stream_rows,seconds,warnings,error
2022_01_bahrain_grand_prix_R,2022,1,R,Bahrain Grand Prix,OK,1125.0,30487.0,57.6,fastf1.fastf1.core WARNING Driver 16 completed the race distance 00:00.050000 before the recorded end of the session. | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete!,
2022_02_saudi_arabian_grand_prix_R,2022,2,R,Saudi Arabian Grand Prix,OK,820.0,18750.0,73.5,fastf1.fastf1.core WARNING No lap data for driver 22 | fastf1.fastf1.core WARNING Failed to perform lap accuracy check - all laps marked as inaccurate (driver 22) | fastf1.fastf1.core WARNING Failed to perform lap accuracy check - all laps marked as inaccurate (driver 47) | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete!,
2022_03_australian_grand_prix_R,2022,3,R,Australian Grand Prix,OK,1045.0,22126.0,78.6,fastf1.api WARNING Driver  3: Ignoring late data for a previously processed lap.The data may contain errors (previous: 28; current 29) | fastf1.api WARNING Failed to align laps for drivers: ['55'] | fastf1.fastf1.core WARNING Driver 16 completed the race distance 00:00.140000 before the recorded end of the session. | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete!,
2022_04_emilia_romagna_grand_prix_R,2022,4,R,Emilia Romagna Grand Prix,OK,1132.0,22706.0,81.0,fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2022_04_emilia_romagna_grand_prix_S,2022,4,S,Emilia Romagna Grand Prix,OK,400.0,8057.0,58.1,fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '4' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '3' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '20' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '47' | fastf1.fastf1.core WARNING Driver 1 completed the race distance 00:00.004000 before the recorded end of the session. | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2022_05_miami_grand_prix_R,2022,5,R,Miami Grand Prix,OK,1057.0,25405.0,79.8,fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2022_06_spanish_grand_prix_R,2022,6,R,Spanish Grand Prix,OK,1230.0,24901.0,81.7,,
2022_07_monaco_grand_prix_R,2022,7,R,Monaco Grand Prix,OK,1179.0,23572.0,121.0,fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '11' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '55' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '1' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '16' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '63' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '4' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '14' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '44' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '77' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '5' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '10' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '31' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '3' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '18' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '6' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '24' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '22' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '23' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '47' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '20' | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2022_08_azerbaijan_grand_prix_R,2022,8,R,Azerbaijan Grand Prix,OK,891.0,21211.0,89.2,,
2022_09_canadian_grand_prix_R,2022,9,R,Canadian Grand Prix,OK,1264.0,21487.0,93.7,fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2022_10_british_grand_prix_R,2022,10,R,British Grand Prix,OK,815.0,19266.0,62.0,fastf1.api WARNING Driver  1: Ignoring late data for a previously processed lap.The data may contain errors (previous: 39; current 40) | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
