race,year,round,session,event,status,laps_rows,stream_rows,seconds,warnings,error
2022_11_austrian_grand_prix_R,2022,11,R,Austrian Grand Prix,OK,1324.0,25505.0,37.4,fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '16' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '1' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '44' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '63' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '31' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '47' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '4' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '20' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '3' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '14' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '77' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '23' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '18' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '24' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '10' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '22' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '5' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '55' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '6' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '11' | fastf1.fastf1.core WARNING Driver 16 completed the race distance 00:00.024000 before the recorded end of the session.,
2022_11_austrian_grand_prix_S,2022,11,S,Austrian Grand Prix,OK,436.0,8405.0,32.1,fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '16' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '55',
2022_12_french_grand_prix_R,2022,12,R,French Grand Prix,OK,958.0,23889.0,36.9,fastf1.api WARNING Driver 55: Ignoring late data for a previously processed lap.The data may contain errors (previous: 13; current 14) | fastf1.fastf1.core WARNING Driver 1 completed the race distance 00:00.041000 before the recorded end of the session. | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2022_13_hungarian_grand_prix_R,2022,13,R,Hungarian Grand Prix,OK,1383.0,26723.0,38.7,,
2022_14_belgian_grand_prix_R,2022,14,R,Belgian Grand Prix,OK,792.0,20773.0,50.6,fastf1.api WARNING Failed to align laps for drivers: ['77'] | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '10' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '22' | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2022_15_dutch_grand_prix_R,2022,15,R,Dutch Grand Prix,OK,1392.0,30332.0,48.5,fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2022_16_italian_grand_prix_R,2022,16,R,Italian Grand Prix,OK,971.0,23346.0,37.4,fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2022_17_singapore_grand_prix_R,2022,17,R,Singapore Grand Prix,OK,945.0,22280.0,51.5,fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2022_18_japanese_grand_prix_R,2022,18,R,Japanese Grand Prix,OK,507.0,12162.0,47.1,fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2022_19_united_states_grand_prix_R,2022,19,R,United States Grand Prix,OK,992.0,20253.0,41.8,fastf1.api WARNING Driver 10: Ignoring late data for a previously processed lap.The data may contain errors (previous: 6; current 7) | fastf1.api WARNING Driver 20: Ignoring late data for a previously processed lap.The data may contain errors (previous: 31; current 32) | fastf1.api WARNING Failed to align laps for drivers: ['55'] | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2022_20_mexico_city_grand_prix_R,2022,20,R,Mexico City Grand Prix,OK,1379.0,27794.0,37.6,,
2022_21_s_o_paulo_grand_prix_R,2022,21,R,São Paulo Grand Prix,FAILED,,,10.4,,RateLimitExceededError: any API: 500 calls/h
2022_21_s_o_paulo_grand_prix_S,2022,21,S,São Paulo Grand Prix,FAILED,,,0.2,,RateLimitExceededError: any API: 500 calls/h
2022_22_abu_dhabi_grand_prix_R,2022,22,R,Abu Dhabi Grand Prix,FAILED,,,0.2,,RateLimitExceededError: any API: 500 calls/h
